epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,344.629,1.83933,2.77714,1.72015,0.4341,0.43661,0.41231,0.20178,1.82565,2.0253,1.72663,0.00997826,0.00332609,0.00997826,0.00332609,0.00997826,0.00332609,0.00997826,0.00332609
2,664.781,1.77342,2.04332,1.66451,0.41742,0.38525,0.34005,0.1651,1.93996,2.22475,1.8213,0.0197805,0.00659349,0.0197805,0.00659349,0.0197805,0.00659349,0.0197805,0.00659349
3,972.606,1.86584,2.19888,1.74247,0.35785,0.36683,0.27627,0.12625,2.05094,2.69787,1.99096,0.0293847,0.0097949,0.0293847,0.0097949,0.0293847,0.0097949,0.0293847,0.0097949
4,1276.06,1.90681,2.27846,1.78436,0.44452,0.30975,0.29535,0.13229,2.12963,2.53838,2.02866,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1579.25,1.86205,2.19024,1.74871,0.46878,0.44476,0.41309,0.19786,1.88285,2.1333,1.81023,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1883.3,1.82501,2.0842,1.72606,0.4964,0.4531,0.46212,0.22447,1.81803,1.96809,1.749,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2188.19,1.77981,2.01317,1.69406,0.53404,0.45901,0.46957,0.22309,1.80223,1.91547,1.72729,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2491.91,1.75699,1.96903,1.67553,0.49219,0.48327,0.47342,0.24131,1.78155,1.86376,1.72713,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2795.49,1.73401,1.89845,1.6651,0.55541,0.49859,0.49965,0.24942,1.78539,1.83228,1.75046,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3104.27,1.71521,1.86576,1.64025,0.52001,0.51932,0.50848,0.26323,1.73526,1.77728,1.70976,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3407.8,1.69402,1.80244,1.62238,0.53236,0.52436,0.53111,0.26663,1.75188,1.72749,1.70079,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3717.24,1.68299,1.7937,1.62144,0.57486,0.54802,0.55629,0.29075,1.69535,1.6692,1.64678,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,4024.35,1.66019,1.74235,1.59702,0.57194,0.54978,0.55274,0.28635,1.70626,1.65838,1.6716,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,4327.47,1.66233,1.72244,1.59956,0.59381,0.54325,0.55883,0.28325,1.70835,1.7022,1.65365,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4630.37,1.65221,1.70297,1.58616,0.57015,0.56032,0.57164,0.29192,1.7092,1.61984,1.65692,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,4936.96,1.62674,1.67319,1.58862,0.5849,0.57012,0.56868,0.29284,1.7082,1.63818,1.68761,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,5241.71,1.62019,1.64394,1.57673,0.59584,0.56378,0.58909,0.30345,1.71091,1.61003,1.67116,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,5545.98,1.60608,1.62435,1.56171,0.58216,0.54444,0.55898,0.28452,1.72216,1.66768,1.65523,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,5849.17,1.59866,1.6127,1.55649,0.59014,0.58084,0.595,0.31706,1.66669,1.53671,1.63128,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,6154.1,1.58434,1.58126,1.54945,0.62502,0.57715,0.60379,0.31762,1.67286,1.53442,1.63856,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,6459.43,1.57119,1.56154,1.53989,0.62272,0.59853,0.61029,0.325,1.67859,1.51639,1.62676,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,6766.04,1.57648,1.54743,1.5342,0.61431,0.59441,0.60924,0.32324,1.66767,1.49793,1.61124,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,7069.17,1.55491,1.51438,1.51188,0.61516,0.58673,0.61466,0.32585,1.64306,1.49765,1.6052,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,7373.52,1.5521,1.51502,1.51859,0.65414,0.58062,0.62455,0.32868,1.66885,1.46843,1.6252,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,7678.1,1.54064,1.47323,1.5106,0.64153,0.59804,0.62457,0.33216,1.66793,1.46521,1.62328,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,7983.62,1.53505,1.46923,1.50616,0.63258,0.60186,0.62824,0.33266,1.66757,1.45454,1.61109,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,8288.46,1.52856,1.45919,1.49844,0.61847,0.61402,0.63045,0.34042,1.66029,1.45961,1.61826,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,8596.74,1.51337,1.42789,1.49192,0.63466,0.60927,0.62928,0.33234,1.67234,1.41918,1.61226,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,8899.77,1.50412,1.41646,1.48081,0.64149,0.60639,0.63167,0.33696,1.6614,1.42072,1.61404,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,9202.04,1.49563,1.39478,1.4794,0.64969,0.61107,0.63328,0.33688,1.672,1.41431,1.61683,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,9504.26,1.47972,1.37074,1.46695,0.65079,0.62379,0.64799,0.34681,1.64651,1.39604,1.61768,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,9808.51,1.47585,1.35268,1.45547,0.63494,0.62215,0.6401,0.34305,1.66429,1.40003,1.61331,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,10110.8,1.47255,1.3473,1.45928,0.65528,0.62043,0.65024,0.34877,1.66086,1.37267,1.61289,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,10414,1.45176,1.31876,1.44299,0.65604,0.62015,0.6442,0.34685,1.65097,1.37169,1.60647,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,10716.8,1.45366,1.31701,1.45284,0.64642,0.63142,0.64993,0.35076,1.64461,1.36767,1.60106,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,11021.9,1.44586,1.28785,1.44748,0.65338,0.62516,0.63835,0.34269,1.66803,1.3808,1.62637,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
